old value	new value
Hugh Iltis	Hugh Iltis
Huron H. Smith	Huron H. Smith
Hussey	Hussey
I. A. Abbott	I. A. Abbott
I. Abbott	I. Abbott
I. B. Warnock	I. B. Warnock
I. B. Warnock, Arthur Nash	I. B. Warnock, Arthur Nash
I. B. Warnock, V. R. Warnock, C. M. Crosby	I. B. Warnock, V. R. Warnock, C. M. Crosby
I. B. Warnock, V. W. Lindauer	I. B. Warnock, V. W. Lindauer
I. C. C. G. Cooper	I. C. G. Cooper
I. C. G. Cooper	I. C. G. Cooper
I. E. O.	I. E. O.
I. F. Lewis	I. F. Lewis
I. F. Lewis, J. M. Furber	I. F. Lewis, J. M. Furber
I. Flodstrom	I. Flodstrom
I. H. Weder	I. H. Weder
I. H. Weder, A. V. Duthie	I. H. Weder, A. V. Duthie
I. Holden	I. Holden
I. Holden, L. N. Johnson	I. Holden, L. N. Johnson
I. Holden, W. A. Setchell	I. Holden, W. A. Setchell
I. Holst, Ricardo S.	I. Holst, Ricardo Soto
I. Holst, Ricardo Soto	I. Holst, Ricardo Soto
I. L. Wiggins, D. Demaree	I. L. Wiggins, D. Demaree
I. Lopez	I. Lopez
I. M. Johnston	I. M. Johnston
I. M. Lamb	I. M. Lamb
I. M. Lamb and U. V. Metzger	I. M. Lamb, U. V. Metzger
I. M. Lamb, U. V. Metzger	I. M. Lamb, U. V. Metzger
I. Nave	I. Nave
Ipse	I. P. S. E.
ispe	I. P. S. E.
I. Porzler	I. Porzler
I. Pörzler	I. Porzler
I. R. Price	I. R. Price
I. Strafforello	I. Strafforello
Tungshan I	I. Tungshan
I. Ueda	I. Ueda
Ian R. Price	Ian R. Price
Ida Cortes Jones	Ida Cortes Jones
Inagaki	Inagaki
Ira L.	Ira L. Wiggins
Ira L. Wiggins	Ira L. Wiggins
Irl B. Warneck	Irl B. Warnock
Irl B. Warnock	Irl B. Warnock
Irl. B. Warnock	Irl B. Warnock
Irl B. Warnock, J. Tilden	Irl B. Warnock, J. Tilden
Irl B. and Vesta R. Warnock	Irl B. Warnock, Vesta R. Warnock
Irl B. Warnock, Vesta R. Warnock	Irl B. Warnock, Vesta R. Warnock
Irving Knobloch	Irving Knobloch
Isaac Holden	Isaac Holden
Isaac Newton	Isaac Newton
Isabel Mulford	Isabel Mulford
Isabella A. Abbott	Isabella Abbott
Isabella Abbott	Isabella Abbott
Issac Holden	Issac Holden
Issac Newton	Issac Newton
Istvanffi	Istvanffi
Itzigsohn	Itzigsohn
Itzigsohn & Rothe	Itzigsohn, Rothe
Itzigsohn, Rothe	Itzigsohn, Rothe
Ivan Johnston	Ivan Johnston
Ivan M. Johnston	Ivan M. Johnston
Ivka M. Munda	Ivka M. Munda
Ivka Munda	Ivka Munda
J	J.
J.	J.
J. A. Allen	J. A. Allen
J. A. Ambott	J. A. Ambott
J. A. Aubatt	J. A. Ambott
J. A. Drushel	J. A. Drushel
J. A. Leliveld	J. A. Leliveld
J. A. Moore, J. A. Steyermark	J. A. Moore, J. A. Steyermark
J. A. Ornshel	J. A. Ornshel
J. A. S.	J. A. S.
J. A. W.	J. A. W.
J. A. West	J. A. West
j. Ag,	J. Agardh
J. Agardh	J. Agardh
J. Agarth	J. Agardh
J. Arcangeli	J. Arcangeli
J. Arcangelt	J. Arcangeli
J. Arechavaleta	J. Arechavaleta
J. B. Balfour	J. B. Balfour
J. B. Cleland	J. B. Cleland
J. B. Cleland, A. H. S. Lucas	J. B. Cleland, A. H. S. Lucas
J. B. Davey	J. B. Davey
J. B. Jack	J. B. Jack
J. B. Kümmerle	J. B. Kummerle
J. B. Leiberg	J. B. Leiberg
J. B. Mead	J. B. Mead
J. B. Mougeot	J. B. Mougeot
J. B. Mougeout	J. B. Mougeot
J. B. Mougeot and C. Nestler	J. B. Mougeot, C. Nestler
J. B. Mougeot, C. Nestler	J. B. Mougeot, C. Nestler
J. B. Mougeout, C. Nestler	J. B. Mougeot, C. Nestler
J. B. P	J. B. P.
J. B. Thompson	J. B. Thompson
J. B Wilson	J. B. Wilson
J. B. Wilson	J. B. Wilson
J. Baglietto, A. Piccone	J. Baglietto, A. Piccone
J. Baumgartner	J. Baumgartner
J. Bester	J. Bester
J. Bester, A. V. Duthie	J. Bester, A. V. Duthie
J. Bierbraüer	J. Bierbrauer
J. Bornmuller	J. Bornmuller
J. Bornmüller	J. Bornmuller
J. Bozanic	J. Bozanic
J. Bracebridge Wilson	J. Bracebridge Wilson
J. Bruce Bredin	J. Bruce Bredin
J. Brunnthaler	J. Brunnthaler
J. Burlt Day	J. Burlt Day
J. Burtt Davy	J. Burtt Davy
J. C. Arthur	J. C. Arthur
J. C. Blumer	J. C. Blumer
J. C. Frye	J. C. Frye
J. C. Ohusted	J. C. Ohusted
J. C. Olmsted	J. C. Ohusted
J. C. S.	J. C. S.
J. C. Smith	J. C. Smith
Stephenson J. C.	J. C. Stephenson
j. C. Wang	J. C. Wang
J. Cabrera	J. Cabrera
J. Chalon	J. Chalon
J. Chauvin	J. Chauvin
J. Connor	J. Connor
J. Connor and D. N. Young	J. Connor, D. N. Young
J. Connor, D. N. Young	J. Connor, D. N. Young
J. D. Hooker	J. D. Hooker
J. D. McComish	J. D. McComish
J. D. Rossouw, A. V. Duthie	J. D. Rossouw, A. V. Duthie
Captain J. D. Smith	J. D. Smith
J. D. Smith	J. D. Smith
J. E.	J. E.
John E'	J. E.
J. E. Areschory	J. E. Areschoug
J. E. Areschoug	J. E. Areschoug
J. E. Chamberlain	J. E. Chamberlain
J. E. Duerden	J. E. Duerden
J. E. Duerdon	J. E. Duerden
J. E. Humphrey	J. E. Humphrey
J. E. Lüders	J. E. Luders
J. E. Nielsen	J. E. Nielsen
J. E. T.	J. E. T.
J. E. Tilden	J. E. Tilden
J. E. Zetterstedt	J. E. Zetterstedt
J. Eyre, University of Cape Town Ecological Survey	J. Eyre, University of Cape Town Ecological Survey
J. F.	J. F.
J. F. Chadwick Jr.	J. F. Chadwick Jr.
J. F. Chadwick, Jr.	J. F. Chadwick Jr.
J. F. Collins	J. F. Collins
J. F. Collins, C. W. Dodge	J. F. Collins, C. W. Dodge
J. F. Drége	J. F. Drege
J. F. Joor	J. F. Joor
J. F. Osborne	J. F. Osborne
J. F. Rock	J. F. Rock
J. F. Rook	J. F. Rock
J. Feldman	J. Feldmann
J. Feldmann	J. Feldmann
J. & G. Feldmann	J. Feldmann, G. Feldmann
J. and G. Feldmann	J. Feldmann, G. Feldmann
J. Feldmann, G. Feldmann	J. Feldmann, G. Feldmann
J. Flodström	J. Flodstrom
J. Förster	J. Forster
J. Förster, R. Lauterborn	J. Forster, R. Lauterborn
J. Foucaud	J. Foucaud
J. Foucaud, E. Simon	J. Foucaud, E. Simon
J. Fowler	J. Fowler
J. Fancis Macbride	J. Francis Macbride
J. Francis Macbride	J. Francis Macbride
J. G. Agaradh	J. G. Agardh
J. G. Agardh	J. G. Agardh
J.G. Agardh	J. G. Agardh
J. G. J. Kuiper	J. G. J. Kuiper
J. Gregg	J. Gregg
J. H.	J. H.
J. H. Burkill	J. H. Burkill
J. H. Camfield	J. H. Camfield
J. H. Cowen	J. H. Cowen
J. H. Hoskins, W. A. Daily	J. H. Hoskins, W. A. Daily
J. H. Hunziker	J. H. Hunziker
J. H. Kimmons	J. H. Kimmons
J. H. Stander	J. H. Stander
J. Heyes, A. V. Duthie	J. Heyes, A. V. Duthie
J. Holdew, W. A. S.	J. Holdew, W. A. S.
J. Holuby	J. Holuby
J. Haneggin	J. Honegger
J. Honegger	J. Honegger
J. Houegger	J. Honegger
J. Hugo, A. V. Duthie	J. Hugo, A. V. Duthie
J. Hungerbyehler	J. Hungerbyehler
J. J. Barkman	J. J. Barkman
J. J. Barkmen	J. J. Barkman
J. J. Barkmen	J. J. Bernhardi
J. J. Bernhardi	J. J. Bernhardi
J. J. Davis	J. J. Davis
J. J. Rodriguez	J. J. Rodriguez
J. Jack	J. Jack
J. Jooste, A. V. Duthie	J. Jooste, A. V. Duthie
J. Koszilkov	J. Koszilkov
J. L.	J. L.
J. L. Hussas	J. L. Hussey
J. L. Hussay	J. L. Hussey
J. L. Hussey	J. L. Hussey
J. L. Martens, Marion B. Duncan	J. L. Martens, Marion B. Duncan
J. L. McHugh	J. L. McHugh
J. L. Monente, L. R. Almodovar, J. Otaola	J. L. Monente, L. R. Almodovar, J. Otaola
J. l. S. Simpson	J. L. S. Simpson
J. L. Taylor	J. L. Taylor
J. L. Wahlstedt	J. L. Wahlstedt
J. LaClaire II	J. LaClaire II
J. Linden	J. Linden
J. López-Bautista	J. Lopez-Bautista
J. Lüders	J. Luders
J. Lutkemuller	J. Lutkemuller
J. Lütkemüller	J. Lutkemuller
J. M.	J. M.
J. M. Fogg Jr.	J. M. Fogg Jr.
J. M. Furber	J. M. Furber
J. M. G.	J. M. G.
J. M. Gillett	J. M. Gillett
J. M. Grant	J. M. Grant
J. M. Greenman	J. M. Greenman
J. M. Greenman, M. T. Greenman	J. M. Greenman, M. T. Greenman
J. M. Hildebrandt	J. M. Hildebrandt
J. M. Ignalls	J. M. Ingalls
J. M. Ingalis	J. M. Ingalls
J. M. Ingalls	J. M. Ingalls
J. M. Loors	J. M. Loors
J. M. Radloff, A. V. Duthie	J. M. Radloff, A. V. Duthie
J. Macoun	J. Macoun
J. Manissadjian	J. Manissadjian
J. Manuel Lopéz	J. Manuel Lopez
J. Manuel Lopéz, G. Hinojosa & E. Holguin	J. Manuel Lopez, G. Hinojosa, E. Holguin
J. Markwell	J. Markwell
J. Matsumura	J. Matsumura
J. Medley Wood	J. Medley Wood
J. Miller	J. Miller
J. Moser	J. Moser
J. Mueller	J. Mueller
J. Muller	J. Mueller
J. N. Anderson	J. N. Anderson
J. N. Norris	J. N. Norris
J. N. Reitsma	J. N. Reitsma
J. Nave	J. Nave
J. Newton	J. Newton
J. Norris	J. Norris
J. Osborne	J. Osborne
J. Ostberg	J. Ostberg
J. P	J. P.
J. P. Breuer	J. P. Breuer
J. P. Jacobsen	J. P. Jacobsen
J. P. Kidder	J. P. Kidder
J. P. Lotsy	J. P. Lotsy
J. Pan	J. Pan
J. Pelka	J. Pelka
J. Petersen	J. Petersen
J. Poindexter	J. Poindexter
J. Pointdexter	J. Poindexter
J. Pokida	J. Pokida
J. Porter	J. Porter
J. Pôrzier	J. Porzler
J. Porzler	J. Porzler
J. Prentice	J. Prentice
J. Prentice and N. J. Eiseman	J. Prentice, N. J. Eiseman
J. Prentice, N. J. Eiseman	J. Prentice, N. J. Eiseman
J. Proskauer	J. Proskauer
J. R. H.	J. R. H.
J. R. Lorenz de Liburnau	J. R. Lorenz de Liburnau
J. R. Lorenz, F. Krasser	J. R. Lorenz, F. Krasser
J. R. Schramm	J. R. Schramm
J. R. Suallen	J. R. Swallen
J. R. Swallen, W. S. Steere	J. R. Swallen, W. S. Steere
J. Rabenhorst	J. Rabenhorst
J. Ralfs	J. Ralfs
J. Randall	J. Randall
J. Randall, F. Pagan, D. Rosado	J. Randall, F. Pagan, D. Rosado
Dr. J. Reinke	J. Reinke
J. Reinke	J. Reinke
J. Rock	J. Rock
J. Rock, Minnie Reed	J. Rock, Minnie Reed
J. Rodriguez and P. Lopez	J. Rodriguez, P. Lopez
J. Rodriguez, P. Lopez	J. Rodriguez, P. Lopez
J. Rühn	J. Ruhn
J. Rull Lluch	J. Rull Lluch
J. Rull Lluch, A. Gómez Garreta	J. Rull Lluch, A. Gomez Garreta
J. S. Collins	J. S. Collins
J. S. E.	J. S. E.
J. S. Garth	J. S. Garth
J. S. Leiberg	J. S. Leiberg
J. S. Zaneveld	J. S. Zaneveld
Dr. J. Schneck	J. Schenck
J. Schenck	J. Schenck
J. Scheutz	J. Scheutz
J. Schiller	J. Schiller
J. Sinclair	J. Sinclair
J. Sleyir, A. V. Duthie	J. Sleyir, A. V. Duthie
J. Stanley Cardiner	J. Stanley Cardiner
J. Stewart	J. Stewart
J. Strafforello	J. Strafforello
J. T. Buccholz	J. T. Buccholz
J. T. Buchholz	J. T. Buchholz
J. T. C.	J. T. C.
J. T. Conover	J. T. Conover
J. T. Howell	J. T. Howell
J. T. Kirker	J. T. Kirker
J. T. Koster	J. T. Koster
J. Th. Koster	J. T. Koster
J. T. Rock	J. T. Rock
J. T. Rothrock Jr.	J. T. Rothrock Jr.
J. Tanaka	J. Tanaka
J. Taylor	J. Taylor
J. Taylor, R. R. Smith	J. Taylor, R. R. Smith
J. Tilden, L. M. Jones	J. Tilden, L. M. Jones
J. Tokida	J. Tokida
J. Torida	J. Torida
J. V. Lindauer	J. V. Lindauer
Baron J. von Mueller	J. von Mueller
J. W. Blankinship	J. W. Blankinship
J. W. Cunnigham	J. W. Cunningham
J. W. Cunningham	J. W. Cunningham
J. W. Hedgepeth	J. W. Hedgepeth
j. W. Toumey	J. W. Toumey
J. Wintz, C. Philippi, R. Emerson, R. Smith	J. Wintz, C. Philippi, R. Emerson, R. Smith
Jack	Jack
Jack.	Jack
Jack Randall	Jack Randall
Jack Rudloe	Jack Rudloe
Jacques Rousseau	Jacques Rousseau
Jaderam	Jaderam
James B. McFarlin	James B. McFarlin
James de Gruchy	James de Gruchy
James Fowler	James Fowler
James G. Scarff	James G. Scarff
James Kaldy	James Kaldy
James We	James West
James West	James West
Jan Newhouse, Roy Tsuda	Jan Newhouse, Roy Tsuda
Jared G. Smith	Jared G. Smith
Javier Cremades	Javier Cremades
Jean Chapman	Jean Chapman
Jeanpert	Jeanpert
Jerd Muller	Jerd Muller
Jermy Gustar	Jermy Gustar
Jessie L. Hussey	Jessie L. Hussey
Jim Forbes, A. V. Duthie	Jim Forbes, A. V. Duthie
Jiro Tanaka	Jiro Tanaka
Jitins	Jitins
Joan Bader	Joan Bader
Joan Bader	Joan C. Bader
Joan C. Bader	Joan C. Bader
Joanna R. Leung	Joanna R. Leung
Joe DeVita, Robert Setzer	Joe DeVita, Robert Setzer
Joe E. King	Joe E. King
Joh. Nave.	Joh. Nave.
Johanna Lüders	Johanna Luders
Johansen	Johansen
John	John
John A. West	John A. West
John B. Leiberg	John B. Leiberg
John B. Thompson	John B. Thompson
John Cocks	John Cocks
John Cooks	John Cooks
John Drouet	John Drouet
John E. Areschoug	John E. Areschoug
John Erh. Areshoug	John E. Areschoug
John Erh. Areshoug'	John E. Areschoug
John H. Kellogg	John H. Kellogg
John Hansen	John Hansen
John Isaacs	John Isaacs
John J. Frederick	John J. Frederick
John L. Strother	John L. Strother
John. L. Strother	John L. Strother
John L. Taylor, Sylvia A. Earle	John L. Taylor, Sylvia A. Earle
John Lawrenth	John Lawrenth
John Leiberg	John Leiberg
John Macoun	John Macoun
John Nelson, Doug Foster	John Nelson, Doug Foster
John Paxson, Fred A. Barkley	John Paxson, Fred A. Barkley
John Poindexter	John Poindexter
John R. Millar	John R. Millar
John Robinson	John Robinson
John Roy	John Roy
John St. Mary	John St. Mary
John West	John West
Jordi Rull Lluch	Jordi Rull Lluch
Jorge Arague	Jorge Araque M.
Jorge Arague M.	Jorge Araque M.
Jorge Arague M., Fred A. Barkley	Jorge Araque M., Fred A. Barkley
Jorge Araque M., Fred A. Barkley	Jorge Araque M., Fred A. Barkley
Jose Domantay	Jose Domantay
José González	Jose Gonzalez
Jośe González	Jose Gonzalez
José González, Luis R. Almodóvar	Jose Gonzalez, Luis R. Almodovar
Jose S. Domamtay	Jose S. Domantay
Jose S. Domantay	Jose S. Domantay
Jose Th. Kaster	Jose T. Kaster
Joseph E. Laferrière	Joseph E. Laferriere
Joseph F. Rock	Joseph F. Rock
Joseph Linton	Joseph Linton
Joseph Linton, Ron Bayne	Joseph Linton, Ron Bayne
Joseph Rock	Joseph Rock
Joseph Rock, Minnie Reed	Joseph Rock, Minnie Reed
Joseph T. Painter, Fred A. Barkley	Joseph T. Painter, Fred A. Barkley
Josephine E Tilden	Josephine E Tilden
Josephine E. Tilden	Josephine E. Tilden
Josephine. E. Tilden	Josephine E. Tilden
Josephine E. Tilden, V. R. Warneck	Josephine E. Tilden, V. R. Warneck
Josephine Kablick	Josephine Kablick
Josephine Kablik	Josephine Kablick
Joy Brookes	Joy Brookes
Jrigfohn	Jrigfohn
Juan Acosta	Juan Acosta
Juan Acosta P.	Juan Acosta Polo
Juan Acosta Polo	Juan Acosta Polo
Juan Fernandez	Juan Fernandez
Juan Mocchiavello	Juan Mocchiavello
Judy Payne	Judy Payne
Julia Honegger	Julia Honegger
Julia Houegger	Julia Houegger
Julian A. Steyermark	Julian A. Steyermark
Julio A. Toro	Julio A. Toro
Julius Cohn, Fred A. Barkley	Julius Cohn, Fred A. Barkley
Julius Kühn	Julius Kuhn
Jun Tokida	Jun Tokida
Junghuhn	Junghuhn
Juergens	Jurgens
Jürgens	Jurgens
K. A. Johnson	K. A. Johnson
K. A. Miller	K. A. Miller
K. A. Miller, Kelp-Urchin-Otter Research Group	K. A. Miller, Kelp-Urchin-Otter Research Group
K. Atōne	K. Atone
K. Bakker	K. Bakker
Kr. Bleifch	K. Bleifch
K. C. Fan	K. C. Fan
K. E. Hirn	K. E. Hirn
K. E. W.	K. E. W.
K. Fritsch, K. Rechinger	K. Fritsch, K. Rechinger
K. G. Iyangar	K. G. Iyengar
K. G. Iyanger	K. G. Iyengar
K. G. Iyengar	K. G. Iyengar
K. G. Jyangar	K. G. Iyengar
K. G. Jyanger	K. G. Iyengar
K. G. Jyengar	K. G. Iyengar
K. H. Coetzer	K. H. Coetzee
K. H. Coetzee, A. V. Duthie	K. H. Coetzee, A. V. Duthie
K. H. Coetzer, A. V. Duthie	K. H. Coetzee, A. V. Duthie
K. H. Rechinger	K. H. Rechinger
K. Häder	K. Hader
K. Hamanaka	K. Hamanaka
K. Höfler	K. Hofler
K. Imahori	K. Imahori
K. Imagaki	K. Inagaki
K. Inagaki	K. Inagaki
Kr. Kirchner	K. Kirchner
K. L. Branden	K. L. Branden
k. Lundshøj	K. Lundshoj
K. M. Drew	K. M. Drew
K. M. S. Aziz	K. M. S. Aziz
K. Mackie	K. Mackie
K. Matsuyama	K. Matsuyama
K. McDonnell	K. McDonnell
K. Minakata	K. Minakata
K. Miyabe	K. Miyabe
K. Myabe	K. Miyabe
K. Miyabe, J. Tokida	K. Miyabe, J. Tokida
K. Nielsen	K. Nielsen
K. O. Emery	K. O. Emery
Herb K. Okamura	K. Okamura
K. Okamura	K. Okamura
K. Rechinger	K. Rechinger
K. Rowan	K. Rowan
K. S. Norris	K. S. Norris
K. Saito	K. Saito
K. Stringer	K. Stringer
K. T. Bird	K. T. Bird
K. W.	K. W.
K. Yendo	K. Yendo
K. Zeller	K. Zeller
K. Zielinski	K. Zielinski
K. Zieliński	K. Zielinski
K. Ziwlinski	K. Zielinski
Kaapaana	Kaapana
Kaapaana, Minnie Reed	Kaapana, Minnie Reed
Kaapana, Minnie Reed	Kaapana, Minnie Reed
Kai Koura	Kai Koura
Kalchbrenner	Kalchbrenner
Kalobrenner	Kalchbrenner
Karen Hunt	Karen Hunt
Karinbach	Karinbach
Karl	Karl
Karl P. Schmidt	Karl P. Schmidt
Karl W. Kenyon	Karl W. Kenyon
Kärnbach	Karnbach
Keissler	Keissler
Keith Serafy	Keith Serafy
Kemmler	Kemmler
Kenoi, Minnie Reed	Kenoi, Minnie Reed
Kenoi, W. A. Setchell	Kenoi, W. A. Setchell
Kepoikai, Minnie Reed	Kepoikai, Minnie Reed
Kerner	Kerner
Kew	Kew
Kleerekoper	Kleerekoper
Klinsmann	Klinsmann
Knocky	Knocky
Knud Black	Knud Black
Knut Bohlin	Knut Bohlin
Koirfis Schumacher	Koirfis Schumacher
Koráb	Korab
Koruback	Koruback
Kraft, Huisman	Kraft, Huisman
Krause	Krause
Krauss	Krauss
Kreischer	Kreischer
Krischtofovitch	Krischtofovitch
Kruckeberg	Kruckeberg
Krumbach	Krumbach
Kuahine	Kuahine
Kuahine, Kuahine	Kuahine, Minnie Reed
Kuahine, Minnie Reed	Kuahine, Minnie Reed
Kubo	Kubo
Kubo, G. F. Papenfuss	Kubo, G. F. Papenfuss
Kuckuck	Kuckuck
Kuetzing	Kuetzing
Kund Black	Kund Black
Kunt Bohlin	Kunt Bohlin
Kutzing	Kutzing
Kützing	Kutzing
Kylin	Kylin
Kyllin	Kylin
L. A. Doore	L. A. Doore
L. A. Doore and C. M. Crosby	L. A. Doore, C. M. Crosby
L. A. Doore, C. M. Crosby	L. A. Doore, C. M. Crosby
L. A. Whitford	L. A. Whitford
L. B. Hepp, A. Braun	L. B. Hepp, A. Braun
L. B. Moore	L. B. Moore
L. B. Thrower	L. B. Thrower
L. Berner	L. Berner
L. Bulnheim	L. Bulnheim
L. Caldesi	L. Caldesi
L. Chevalier	L. Chevallier
L. Chevaliler	L. Chevallier
L. Chevallier	L. Chevallier
L. Corbiere	L. Corbiere
L. Corbière	L. Corbiere
L. Cufino	L. Cufino
Lud. Dufour	L. Dufour
L. E. Richardson	L. E. Richardson
L. F. Ford	L. F. Ford
L. F. Henderson	L. F. Henderson
L. F. Hy, J. Foucaud	L. F. Hy, J. Foucaud
L. F. Wahlstedt	L. F. Wahlstedt
L. Favarger	L. Favarger
L. Ford	L. Ford
L. Ford, Lucy M. Cranwell	L. Ford, Lucy M. Cranwell
Lee H	L. H.
L. H. Colinvaux	L. H. Colinvaux
L. H. Colinvaux, H. M. Burkill	L. H. Colinvaux, H. M. Burkill
L. H. Jordal	L. H. Jordal
L. H. Knoche	L. H. Knoche
L. H. Pammel	L. H. Pammel
L. Hamen	L. Hansen
L. Hames	L. Hansen
L. Hanopn	L. Hansen
L. Hansen	L. Hansen
L. Hauser	L. Hansen
L. Holtz	L. Holtz
L. Huerta	L. Huerta
L. J.	L. J.
L. J. King	L. J. King
L. J. King, J. O. Young	L. J. King, J. O. Young
L. J. Wahlstedt	L. J. Wahlstedt
L.J. Wahlstedt	L. J. Wahlstedt
L. J. Wahlstedt, C. F. O. Nordstedt	L. J. Wahlstedt, C. F. O. Nordstedt
L. J. Wahlstedt, O. Nordstedt	L. J. Wahlstedt, O. Nordstedt
Miss L. Janegan	L. Janegan
L. Jones	L. Jones
L. K. Rosenvinge	L. K. Rosenvinge
L. Klein	L. Klein
L. Kolderup	L. Kolderup
L. Kolderup Rosenvinge	L. Kolderup Rosenvinge
L. Leiner	L. Leiner
L. M. Bravo	L. M. Bravo
L. M. C.	L. M. C.
L. M. Crammell	L. M. Cranwell
L. M. Cran	L. M. Cranwell
L. M. Cranwell	L. M. Cranwell
L. M. Jones	L. M. Jones
L. M. Jones, J. Tilden	L. M. Jones, J. Tilden
L. Jones, M. Jones	L. M. Jones, M. H. Jones
L. M. and M. H. Jones	L. M. Jones, M. H. Jones
L. M. Jones, M. H. Jones	L. M. Jones, M. H. Jones
L. M. McCormick	L. M. McCormick
L. M. Newton	L. M. Newton
L. M. Turner	L. M. Turner
L. Montemartini	L. Montemartini
L. Motelay	L. Motelay
L. N. Johnson	L. N. Johnson
L. P. Woods	L. P. Woods
L. Preiss	L. Preiss
L. R.	L. R.
L.R.	L. R.
Dr. L. R. Almodovar	L. R. Almodovar
L. R. Almodovar	L. R. Almodovar
L. R. Almodóvar	L. R. Almodovar
L. R. Almodovar, B. Moncion, and F. Geraldes	L. R. Almodovar, B. Moncion, F. Geraldes
L. R. Almodovar and D. Princz	L. R. Almodovar, D. Princz
L. R. Almodovar, D. Princz	L. R. Almodovar, D. Princz
L. R. Almodovar, D. Princz & Hno. Mario	L. R. Almodovar, D. Princz, H. Mario
L. R. Almodovar, D. Princz y Hno. Mario	L. R. Almodovar, D. Princz, H. Mario
L. R. Almodovar, D. Princz, and Hno. Mario	L. R. Almodovar, D. Princz, H. Mario
L. R. Almodovar, D. Princz, Hno. Mario	L. R. Almodovar, D. Princz, H. Mario
L. R. Almodovar, F. Pagan, B. & C. Cutress	L. R. Almodovar, F. Pagan, B. Cutress, C. Cutress
L. R. Almodovar, Fco. Pagan, B. Cutress, C. Cutress	L. R. Almodovar, F. Pagan, B. Cutress, C. Cutress
L. R. Almodovar, F. Pagan, H. & S. Austin, N. Suau, J. Gonazlez, J. Irrizarry, & V. Rosado	L. R. Almodovar, F. Pagan, H. Austin, S. Austin, N. Suau, J. Gonazlez, J. Irrizarry, V. Rosado
L. R. Almodóvar, F. Pagán, V. M. Rosado, Captain Trabert & crew	L. R. Almodovar, F. Pagan, V. M. Rosado, Captain Trabert and crew
L. R. Almodovar, H and A. Austin, J. Gonzalez, V. M. Rosado, and J. J. Irizarry	L. R. Almodovar, H. Austin, A. Austin, J. Gonzalez, V. M. Rosado, J. J. Irizarry
L. R. Almodovar, J. Gonzalez, H. & S. Austin, V. M. Rosado, J. J. Irizarry	L. R. Almodovar, H. Austin, A. Austin, J. Gonzalez, V. M. Rosado, J. J. Irizarry
L. R. Almodovar, Herbert and Sheila Austin, V. M. Rosado, A. Rehm	L. R. Almodovar, H. Austin, S. Austin, V. M. Rosado, A. Rehm
L. R. Almodovar, H. S. Austin, F. Pagan, F. Suau	L. R. Almodovar, H. S. Austin, F. Pagan, F. Suau
L. R. Almodovar, I. Lopez, D. Pesante & M. Muarez	L. R. Almodovar, I. Lopez, D. Pesante, J. M. Munoz
L. R. Almodovar, I. Lopez, D. Pesante & M. Muñoz	L. R. Almodovar, I. Lopez, D. Pesante, J. M. Munoz
L. R. Almodovar, I. Lopez, D. Pesante, and J. M. Munoz	L. R. Almodovar, I. Lopez, D. Pesante, J. M. Munoz
L. R. Almodovar, I. Lopez, D. Pesante, J. M. Munoz	L. R. Almodovar, I. Lopez, D. Pesante, J. M. Munoz
L. R. Almodovar, I. Lopez, D. Pesante, J. M. Muñoz	L. R. Almodovar, I. Lopez, D. Pesante, J. M. Munoz
L. R. ALmodovar, I. Lopez, D. Pesante, J. M. Rivera	L. R. Almodovar, I. Lopez, D. Pesante, J. M. Rivera
L. R. Almodovar, J. J. Irizarry and V. M. Rosado	L. R. Almodovar, J. J. Irizarry, V. M. Rosado
L. R. Almodovar, J. J. Irizarry, V. M. Rosado	L. R. Almodovar, J. J. Irizarry, V. M. Rosado
L. R. Almodovar, J. J. Irizarry, V. M. Rosado, P. J. Ramos, W. Hendricks, N. Hildner, Carlos Carrera and L. Craft	L. R. Almodovar, J. J. Irizarry, V. M. Rosado, P. J. Ramos, W. Hendricks, N. Hildner, Carlos Carrera, L. Craft
L. R. Almodovar, J. J. Irizarry, V. M. Rosado, P. J. Ramos, W. Hendricks, N. Hildner, Carlos Carrera, and L. Craft	L. R. Almodovar, J. J. Irizarry, V. M. Rosado, P. J. Ramos, W. Hendricks, N. Hildner, Carlos Carrera, L. Craft
L. R. Almodovar, J. J. Irizarry, V. M. Rosado, P. J. Ramos, W. Hendricks, W. Hildner, C. Carrera, & L. Craft	L. R. Almodovar, J. J. Irizarry, V. M. Rosado, P. J. Ramos, W. Hendricks, N. Hildner, Carlos Carrera, L. Craft
L. R. Almodovar, J. J. Irizarry, V. M. Rosado, W. Irizarry and Captain Felix	L. R. Almodovar, J. J. Irizarry, V. M. Rosado, W. Irizarry and Captain Felix
L. R. Almodovar and J. Otaola	L. R. Almodovar, J. Otaola
L. R. Almodovar, J. Otaola	L. R. Almodovar, J. Otaola
L. R. Almodovar, J. Otaola, J. L. Monente	L. R. Almodovar, J. Otaola, J. L. Monente
L. R. Almodovar, J. Otola, and J. L. Monente	L. R. Almodovar, J. Otaola, J. L. Monente
L. R. Almodovar, M. Montero, M. Garcia, F. Geraldes	L. R. Almodovar, M. Montero, M. Garcia, F. Geraldes
L. R. Almodovar and V. M. Rosado	L. R. Almodovar, V. M. Rosado
L. R. Almodovar and V. M. Rosado, V. M. Rosado	L. R. Almodovar, V. M. Rosado
L. R. Almodovar and V. M. Rosario	L. R. Almodovar, V. M. Rosado
L. R. Almodovar, V. M. Rosado	L. R. Almodovar, V. M. Rosado
