old value	new value
B. Wartmann	B. Wartmann
B. Wysor	B. Wysor
B. Wysor, W. Kooistra	B. Wysor, W. Kooistra
Baarbeth	Baardseth
Baardseth	Baardseth
Baglietto	Baglietto
Baglietto Gennari	Baglietto, Gennari
Baglietto, Piccone	Baglietto, Piccone
Barbara Boss	Barbara Boss
Barbara Ross	Barbara Boss
Barrandon	Barrandon
Bartman	Bartman
Bartram, Cyril Crossland	Bartram, Cyril Crossland
Bassett Maguire	Bassett Maguire
Bastin	Bastin
Bauer	Bauer
Beaufort Chem. Corp	Beaufort Chem. Corp.
Beaufort Chem. Corp.	Beaufort Chem. Corp.
Becky Benefiel	Becky Benefiel
Bell	Bella Timeteo
Bell Timeteo	Bella Timeteo
Bella Timetea	Bella Timeteo
Bella Timeteo	Bella Timeteo
Bella Timeteo, Minni Reed	Bella Timeteo, Minnie Reed
Bella Timeteo, Minnie Reed	Bella Timeteo, Minnie Reed
Bellegrandi	Bellegrandi
Berggren	Berggren
Bertero	Bertero
Berteroana	Bertero
Beihl Hylmo	Bertil Hylmo
Bertil Hylmo	Bertil Hylmo
Bertil Hylmö	Bertil Hylmo
Bertram	Bertram
Mr. Bertram	Bertram
Bertrand Lachenée	Bertrand Lachenee
Betty Moss	Betty Moss
Beulah Ennis	Beulah Ennis
Biafoletto	Biafoletto
Bicchi	Bicchi
Binder	Binder
Blanca Rojas E.	Blanca Rojas E.
Bleifch	Bleifch
Bleisch	Bleifch
Bob Gardner	Bob Gardner
Bob Moffitt	Bob Moffitt
Bob Rodin	Bob Rodin
Boensch	Boensch
Boissier	Boissier
Borbás Vince	Borbas Vince
Börgesen	Borgesen
Bornet	Bornet
Boshyu	Boshyu
Bosseri	Botteri
Botteri	Botteri
Bowers, Minnie Reed	Bowers, Minnie Reed
Brachs	Brachs
Brad A. Barkley	Brad A. Barkley
Braun	Braun
Braun et al.	Braun
Breutel	Breutel
Brian Wysor	Brian Wysor
Capt. Brooks	Brooks
Bruce Fink	Bruce Fink
Bruce Halstead	Bruce Halstead
Briigger	Brugger
Brugger	Brugger
Bruno Schroder	Bruno Schroder
Bruno Schröder	Bruno Schroder
Bruno Schroeder	Bruno Schroder
Bsarrer Remmler	Bsarrer Remmler
Bulnheim	Bulnheim
Bumburry	Bulnheim
Buoliai Luine	Buoliai Luine
Burch	Burch
Burdett Coutts	Burdett Coutts
Burdiell	Burdiell
Buttle	Buttle
C. A. Ballard	C. A. Ballard
C. A. Berg	C. A. Berg
C. A. Clarke	C. A. Clarke
C. A. Hanrich	C. A. Hantzsch
C. A. Hanßfch	C. A. Hantzsch
C. A. Hanzfch	C. A. Hantzsch
C. A. M. Lindman	C. A. M. Lindman
C. A. Magga	C. A. Maggs
C. A. Maggs	C. A. Maggs
C. A. Maggs, G. Russell	C. A. Maggs, G. Russell
C. A. McConchie	C. A. McConchie
C. A. Purpus	C. A. Purpus
C. Acleta	C. Acleta
C. B. Caldwell	C. B. Caldwell
C.B. Caldwell	C. B. Caldwell
C. B. Lepman	C. B. Lepman
C. B. Lipman	C. B. Lepman
C. B. Robinson	C. B. Robinson
C. B. Robinson and M. Ramos	C. B. Robinson, M. Ramos
C. B. S.	C. B. S.
W.B. Setchell	C. B. Setchell
C. B. Setchell, W. A. Setchell	C. B. Setchell, W. A. Setchell
C. B. Stifler	C. B. Stifler
C. Baenitz	C. Baenitz
C. Ballard	C. Ballard
C. Battelli	C. Battelli
C. Biene	C. Biene
C. Bolle	C. Bolle
C. Bonnet	C. Bonnet
Chr. Bonnet	C. Bonnet
C. Bormet	C. Bormet
C. Bornet	C. Bormet
C. Bullard	C. Bullard
Chas C. Deam	C. C. Deam
C. C. Parry	C. C. Parry
C. C. Sanborn	C. C. Sanborn
Chas. C. Sperry	C. C. Sperry
C. C. Wang	C. C. Wang
C. Conzatti	C. Conzatti
C. Cramer	C. Cramer
Dr. C. Cramer	C. Cramer
C. Cramer, Brügger	C. Cramer, Brugger
Dr. C. Cramer, Dr. Chr. v. Brügger	C. Cramer, C. V. Brugger
C. Cramer Schumann	C. Cramer, Schumann
C. Croley, S. Taylor, C. Dawes	C. Croley, S. Taylor, C. Dawes
C. Dawes	C. Dawes
C. Dayrich	C. Dayrich
C. de Keissler	C. de Keissler
C. Dezarnaulds	C. Dezarnaulds
C. E. B.	C. E. B.
C. E. Bessy	C. E. Bessy
C. E. Faxon	C. E. Faxon
C. E. Gustafsson	C. E. Gustafsson
C. E. Pearse	C. E. Pease
C. E. Pease	C. E. Pease
C. E. Pearse, E. Butler	C. E. Pease, E. Butler
C. E. Pease and E. Butler	C. E. Pease, E. Butler
C. E. Pease, E. Butler	C. E. Pease, E. Butler
C. Engard, I. Abbott	C. Engard, I. Abbott
C. Engard, Lois L. Eubank	C. Engard, Lois L. Eubank
C. Engard, N. Boke	C. Engard, N. Boke
C. F. Baker	C. F. Baker
C. F. Baker, F. S. Earle, S. M. Tracy	C. F. Baker, F. S. Earle, S. M. Tracy
C. F. O. Nordstedt	C. F. O. Nordstedt
Ch. Flahault	C. Flahault
C. GG. J. van Steenia	C. G. G. J. van Steenia
C. G. Pringle	C. G. Pringle
C. Gerstenberger	C. Gerstenberger
C. Gutierrez, P. Zamora	C. Gutierrez, P. Zamora
