J. Prentice, R. Roesch	fix2019 J. Prentice, R. Roesch	1
T. A. Stephenson, Anne'	fix2019 T. A. Stephenson, Anne'	1
H. Kumm, A. V. Duthie	fix2019 H. Kumm, A. V. Duthie	1
Ralph A. Lewsin, Lanna Cheng	fix2019 Ralph A. Lewsin, Lanna Cheng	1
R. W. Ricker, G. I. McFadden	fix2019 R. W. Ricker, G. I. McFadden	1
R. Hooper, D. Reddin, D. Keats	fix2019 R. Hooper, D. Reddin, D. Keats	2
T. Kitayama, H. Taniguchi	fix2019 T. Kitayama, H. Taniguchi	1
F. Von Müller, W. A. Setchell	fix2019 F. Von Müller, W. A. Setchell	1
R. Ricker, L. Torregrosa	fix2019 R. Ricker, L. Torregrosa	1
Ratricia [ Delendick ] Alexandre, Laurence Alexandre, Patrick Lawrence, Victor Alexandre, Rosemary [ Delendick ] Mandella, William Mandella, and Walter Klinger	fix2019 Ratricia [ Delendick ] Alexandre, Laurence Alexandre, Patrick Lawrence, Victor Alexandre, Rosemary [ Delendick ] Mandella, William Mandella, and Walter Klinger	1
Sharon Gray, Gary Powell, Ross Durland	fix2019 Sharon Gray, Gary Powell, Ross Durland	1
Luis R. Almodovar, f. Pagan, H. Austin, Jose Gonzales Libey, J. Irizarry, V. Rosado	fix2019 Luis R. Almodovar, f. Pagan, H. Austin, Jose Gonzales Libey, J. Irizarry, V. Rosado	1
K. A. Miller, Kelp-Urchin-Otter Reseach Group	fix2019 K. A. Miller, Kelp-Urchin-Otter Reseach Group	1
E. Y. Dawson, M. S. Doty, J. Newhouse	fix2019 E. Y. Dawson, M. S. Doty, J. Newhouse	1
Harold J. Humm, Sylvia A. Earle	fix2019 Harold J. Humm, Sylvia A. Earle	1
Ricardo Soto S., E. Holst	fix2019 Ricardo Soto S., E. Holst	1
C. J. Dawes, Croley, Lawrence	fix2019 C. J. Dawes, Croley, Lawrence	1
F. A. McClure, Chinese villagers	fix2019 F. A. McClure, Chinese villagers	1
I. van der Riet, A. V. Duthie	fix2019 I. van der Riet, A. V. Duthie	1
A. Nash, V. Nash, J. Tilden	fix2019 A. Nash, V. Nash, J. Tilden	1
R. Hooper, D. Reddin	fix2019 R. Hooper, D. Reddin	2
Deverel, Minnie Reed	fix2019 Deverel, Minnie Reed	2
M. Nagai, M. Shim Amura	fix2019 M. Nagai, M. Shim Amura	1
Miss Carter, N. L. Gardner	fix2019 Miss Carter, N. L. Gardner	1
W. A. Setchell, W. A. Setchell	fix2019 W. A. Setchell, W. A. Setchell	1
E. S. Marais, A. V. Duthie	fix2019 E. S. Marais, A. V. Duthie	1
M. A. Pocock, H. Parolis	fix2019 M. A. Pocock, H. Parolis	1
