1	#################################################################												
2	# DWC to Cspace field name mapping												
3	# being a specification of how to match DarwinCore fields to UCJEPS Cspace fields												
4	# Columns												
5	# 	A	sequence number. Only facultative.										
6	# 	B	DWC field name										
7	# 	C	Cspace fieldname										
8	# 	D	context tag (currently unused)										
9	# 	E	datatype of the element										
10	# 	F	type of check to peform										
11	# 	G	Cspace authority name (including CSID)										
12	# 	H	Remarks (ignored by the program)										
13	# 												
14	#################################################################												
15	# v0.9 jbl 12/26/18												
16	#################################################################												
17	# Darwin Core field name	Cspace collectionobject tag	context tag	data type	type of check	authority	remarks						
301		valueDate					cspace field only						
302		valueQualifier					cspace field only						
303		vCoordSys					cspace field only						
304		vDistanceAboveSurface					cspace field only						
305		viewersReference					cspace field only						
306	decimalLatitude	vLatitude		literal									
307	decimalLongitude	vLongitude		literal									
308		vOtherCoords					cspace field only						
309		vSpatialReferenceSystem					cspace field only						
310		workflowState					core						
311	# static vocabularies												
312	majorgroup	taxonMajorGroup		static		taxonMajorGroups							
313													
314		coordinateSystem		static		coordinateSystems							
315		depthUnit		static		depthUnits							
316		dimension		static		dimensions							
317		distanceAboveSurfaceUnit		static		distanceAboveSurfaceUnits							
318		elevationUnit		static		elevationUnits							
319		gender		static		genders							
320		geoRefProtocol		static		geoRefProtocols	cspace field only						
321		geoRefVerificationStatus		static		geoRefVerificationStatuses							
322		georefProtocol		static		georefProtocols							
323		georefVerificationStatus		static		georefVerificationStatuses							
324		higherGeography		static		higherGeographies							
325		localityUnit		static		localityUnits							
326		measuredPart		static		measuredParts							
327		measurementMethod		static		measurementMethods							
328		measurementUnit		static		measurementUnits							
329		mediaType		static		mediaTypes							
330		numberType		static		numberTypes							
331		objectStatus		static		objectStatuses							
332		spatialRefSystem		static		spatialRefSystems							
333		taxonIdentKind		static		taxonIdentKinds							
334		taxonTermSource		static		taxonTermSources							
335		taxonTermStatus		static		taxonTermStatuses							
336		taxonTermType		static		taxonTermTypes							
337		taxonomicStatus		static		taxonomicStatuses							
338		typeSpecimenKind		static		typeSpecimenKinds							
339	localityRemarks												
340	originalNameUsage												
341	previousIdentifications									1180	5268		
342	rights									1	79328		
343	accessRights									1	79328		
344	associatedMedia									79111	79328	save!	
345	vernacularName									22	25		
346		taxonRank		static		taxonRanks							
